yaw,ang_speed, meas_yaw, odom, imu, imu_int, meas_x, meas_y, odom_x, odom_y, time
-1.5708,0.5,-1.25098,-1.24462,-1.1497,-1.12687,0.103,-0.311,0.101761,-0.264547,Fri Jul 29 15:33:56 2022
-1.5708,0.5,-1.23398,-1.2565,-1.17981,-1.13291,0.111,-0.317,0.0982718,-0.271232,Fri Jul 29 15:35:00 2022
-1.5708,0.5,-1.21412,-1.26178,-1.17801,-1.10176,0.117,-0.314,0.096319,-0.263817,Fri Jul 29 15:36:21 2022
-1.5708,0.5,-1.23384,-1.24032,-1.16463,-0.879937,0.11,-0.314,0.101962,-0.261659,Fri Jul 29 15:37:40 2022
-1.5708,0.5,-1.2453,-1.25848,-1.16322,-1.04922,0.108,-0.32,0.097978,-0.268446,Fri Jul 29 15:39:00 2022
-1.5708,0.5,-1.24999,-1.26046,-1.17118,-1.11221,0.106,-0.319,0.0955715,-0.263555,Fri Jul 29 15:40:04 2022
-1.5708,0.5,-1.26403,-1.25386,-1.17343,-1.16739,0.102,-0.322,0.0949155,-0.256335,Fri Jul 29 15:40:58 2022
-1.5708,0.5,-1.23744,-1.25485,-1.16764,-1.0726,0.107,-0.309,0.0960328,-0.259839,Fri Jul 29 15:42:01 2022
-1.5708,0.5,-1.27167,-1.25848,-1.17099,-1.1415,0.103,-0.334,0.0957878,-0.258366,Fri Jul 29 15:43:02 2022
-1.5708,0.5,1.2163,-1.25452,-1.16327,-1.05999,0.114,0.308,0.0969632,-0.260083,Fri Jul 29 15:44:20 2022
-1.5708,0.5,-1.25274,-1.25386,-1.1738,-1.11438,0.107,-0.325,0.0982107,-0.264985,Fri Jul 29 15:45:18 2022
-1.5708,0.5,-1.25,-1.24858,-1.15207,-1.11916,0.105,-0.316,0.101325,-0.268279,Fri Jul 29 15:46:13 2022
-1.5708,0.5,-1.232,-1.23306,-1.14406,-1.09134,0.111,-0.315,0.103771,-0.260249,Fri Jul 29 15:47:00 2022
-1.5708,0.75,-1.27682,-1.30831,-1.20046,-1.08758,0.099,-0.327,0.0853115,-0.273573,Fri Jul 29 16:02:37 2022
-1.5708,0.75,-1.30377,-1.30567,-1.1983,-1.0623,0.09,-0.329,0.0820492,-0.264453,Fri Jul 29 16:03:28 2022
-1.5708,0.75,-1.35562,-1.30435,-1.22134,-1.09261,0.073,-0.334,0.0744858,-0.270107,Fri Jul 29 16:04:09 2022
-1.5708,0.75,-1.28834,-1.30798,-1.22737,-1.1302,0.092,-0.317,0.0838288,-0.266093,Fri Jul 29 16:05:59 2022
-1.5708,0.75,-1.30737,-1.28191,-1.21964,-0.989799,0.089,-0.33,0.0824215,-0.266848,Fri Jul 29 16:06:48 2022
-1.5708,0.75,-1.30428,-1.30798,-1.20548,-1.1048,0.089,-0.326,0.0844493,-0.271861,Fri Jul 29 16:07:27 2022
-1.5708,0.75,-1.33356,-1.29412,-1.21311,-1.09222,0.081,-0.335,0.0830429,-0.264886,Fri Jul 29 16:08:20 2022
-1.5708,0.75,-1.29825,-1.31129,-1.21964,-1.11442,0.09,-0.322,0.0833439,-0.267347,Fri Jul 29 16:09:14 2022
-1.5708,0.75,-1.31058,-1.30237,-1.22077,-1.12978,0.086,-0.323,0.0836618,-0.267644,Fri Jul 29 16:09:50 2022
-1.5708,0.75,-1.30981,-1.2961,-1.22974,-1.12331,0.086,-0.322,0.0792853,-0.263566,Fri Jul 29 16:10:35 2022
-1.5708,0.75,-1.29953,-1.30138,-1.24028,-1.16113,0.089,-0.32,0.0836736,-0.272682,Fri Jul 29 16:11:26 2022
-1.5708,0.75,-1.27274,-1.30204,-1.18587,-1.08755,0.098,-0.319,0.086977,-0.272158,Fri Jul 29 16:12:12 2022
-1.5708,0.75,-1.29001,-1.28719,-1.19275,-1.09517,0.092,-0.319,0.0882333,-0.262354,Fri Jul 29 16:13:02 2022
-1.5708,0.75,-1.26988,-1.27894,-1.2055,-0.488216,0.099,-0.319,0.0855662,-0.266215,Fri Jul 29 16:13:52 2022
-1.5708,0.75,-1.26313,-1.29346,-1.22417,-1.12361,0.102,-0.321,0.0821931,-0.26015,Fri Jul 29 16:14:46 2022
-1.5708,1,-1.33747,-1.35122,-1.24726,-1.08678,0.077,-0.324,0.0677064,-0.270891,Fri Jul 29 16:16:54 2022
-1.5708,1,-1.38726,-1.35617,-1.28033,-1.13764,0.062,-0.334,0.0599225,-0.274551,Fri Jul 29 16:17:53 2022
-1.5708,1,-1.33664,-1.31954,-1.25579,-1.0864,0.078,-0.327,0.0695075,-0.264825,Fri Jul 29 16:18:44 2022
-1.5708,1,-1.33937,-1.33769,-1.27323,-0.958794,0.078,-0.331,0.0739731,-0.268123,Fri Jul 29 16:19:43 2022
-1.5708,1,-1.35377,-1.35221,-1.27841,-1.14275,0.071,-0.322,0.072299,-0.271638,Fri Jul 29 16:20:31 2022
-1.5708,1,-1.38958,-1.35023,-1.25105,-1.12219,0.059,-0.322,0.0618257,-0.267756,Fri Jul 29 16:21:17 2022
